country,high_life_satis,med_life_satis,low_life_satis
Austria,37.9,49.3,12.9
Belgium,20.9,69.9,9.2
Bulgaria,5.9,29.8,64.2
Switzerland,38.5,53.5,8
Cyprus,14.2,48.8,37
Czechia,21.3,53.3,25.4
Germany,25,55.8,19.2
Denmark,42.7,46.6,10.6
Estonia,13.5,52.1,34.4
Greece,12.8,51.8,35.5
Spain,18.4,58.4,23.2
Finland,38.6,55.5,6
France,16.1,64.8,19.1
Croatia,15,49.5,35.4
Hungary,11.3,50.2,38.5
Ireland,30.6,52.7,16.7
Iceland,38.1,52.4,9.5
Italy,14.2,63,22.7
Lithuania,18.8,53.3,27.9
Luxembourg,25.7,59.5,14.8
Latvia,12.6,56.6,30.8
Malta,21.9,57.7,20.4
Netherlands,26.1,68.3,5.6
Norway,35.6,54.1,10.3
Poland,29.4,50.7,19.9
Portugal,13.8,45.7,40.5
Romania,19.7,63.7,16.7
Sweden,34.4,56.6,9
Slovenia,20.4,55.2,24.4
Slovakia,25,48.6,26.4
Turkey,11.1,38.6,50.3
United Kingdom,27.8,53.2,19.1